# file...... Fixed_Electric_main_meter.csv
# date...... Tue May 04 10:07:08 2010
# user...... D3P313
# host...... (null)
# target.... meter 6
# trigger... (none)
# interval.. 3600
# limit..... 8808
# timestamp,measured_real_power,measured_reactive_power,measured_real_energy,measured_reactive_energy
2006-01-05 08:00:00 CST,+1286539.74817,+206238.794932,+100984061.067,+13802813.0706
2006-01-05 09:00:00 CST,+1320824.72365,+209490.17267,+102222561.707,+13996861.6702
2006-01-05 10:00:00 CST,+1156535.78539,+173975.81927,+103319203.831,+14156200.075
2006-01-05 11:00:00 CST,+1026122.62014,+144442.678237,+104315354.778,+14292844.3069
2006-01-05 12:00:00 CST,+900558.836042,+116059.690301,+105271851.302,+14419147.2585
2006-01-05 13:00:00 CST,+977363.132824,+120650.605218,+106201494.98,+14540349.4047
2006-01-05 14:00:00 CST,+942449.309641,+120034.271961,+107150321.034,+14664801.5117
2006-01-05 15:00:00 CST,+996525.863342,+135161.164416,+108144367.424,+14799718.325
2006-01-05 16:00:00 CST,+1036320.73841,+149726.651886,+109217239.197,+14954389.2184
2006-01-05 17:00:00 CST,+1527541.87238,+266005.112883,+110408275.079,+15137362.1015
2006-01-05 18:00:00 CST,+1247827.76626,+198623.314869,+111867437.496,+15391387.0882
2006-01-05 19:00:00 CST,+1587476.02831,+289841.454678,+113269722.054,+15628227.599
2006-01-05 20:00:00 CST,+1402255.23172,+235906.69867,+114632509.594,+15854606.5538
2006-01-05 21:00:00 CST,+1279968.97578,+206268.393982,+115858495.832,+16046830.4857
2006-01-05 22:00:00 CST,+1184856.13824,+171832.83487,+117019610.552,+16221887.4986
2006-01-05 23:00:00 CST,+1074257.81101,+154250.686825,+118158931.875,+16393410.8266
2006-01-06 00:00:00 CST,+1214211.32805,+186962.336952,+119305026.595,+16568092.7765
2006-01-06 01:00:00 CST,+1293710.92338,+208755.999163,+120522474.324,+16760768.2653
2006-01-06 02:00:00 CST,+1339210.61812,+221820.494967,+121806782.554,+16968861.1523
2006-01-06 03:00:00 CST,+1361632.09726,+223575.14495,+123167322.677,+17194692.6373
2006-01-06 04:00:00 CST,+1476640.90676,+253905.287003,+124712235.102,+17470760.2177
2006-01-06 05:00:00 CST,+1516833.56939,+267010.274563,+126161683.238,+17718449.542
2006-01-06 06:00:00 CST,+1783408.89512,+352925.757122,+127818227.181,+18027517.2663
2006-01-06 07:00:00 CST,+1714753.85479,+328774.072169,+129490642.606,+18341244.019
2006-01-06 08:00:00 CST,+1515052.27584,+267430.536891,+131051137.355,+18621635.9019
2006-01-06 09:00:00 CST,+1326438.02124,+216264.349787,+132467701.708,+18863557.122
2006-01-06 10:00:00 CST,+1023549.81439,+150559.566527,+133612251.426,+19039836.8558
2006-01-06 11:00:00 CST,+930581.038759,+134146.613315,+134651719.246,+19194673.2689
2006-01-06 12:00:00 CST,+899060.306121,+124388.424081,+135623304.959,+19334686.632
2006-01-06 13:00:00 CST,+844158.614431,+115297.41927,+136502607.452,+19454274.7711
